Wavelength,Intensity
689.20902338122414,629.5
689.21930007097023,631
689.2295764783961,631
689.23985260347774,629
689.25012844619073,627
689.26040400651164,631.5
689.27067928441625,631.5
689.28095427988035,631
689.29122899288018,630.5
689.30150342339175,630
689.31177757139108,627
689.32205143685394,627.5
689.33232501975658,627.5
689.3425983200749,626.5
689.352871337785,627
689.36314407286272,627.5
689.37341652528426,629
689.38368869502563,629.5
689.39396058206262,629.5
689.40423218637147,629.5
689.4145035079282,631
689.42477454670882,632
689.43504530268922,631
689.44531577584576,629
689.45558596615388,627.5
689.46585587359027,624.5
689.47612549813061,625
689.48639483975091,629
689.49666389842741,626
689.5069326741359,629
689.51720116685249,630
689.52746937655343,631.5
689.53773730321461,632.5
689.548004946812,632.5
689.55827230732177,628.5
689.56853938471988,628
689.5788061789824,626.5
689.58907269008546,625.5
689.59933891800517,625
689.60960486271733,627.5
689.61987052419818,628.5
689.63013590242383,629.5
689.64040099737019,630.5
689.6506658090135,629
689.66093033732955,631
689.67119458229479,627.5
689.68145854388479,628
689.69172222207612,629.5
689.70198561684469,629
689.71224872816629,629.5
689.72251155601748,626.5
689.73277410037383,626.5
689.743036361212,626
689.75329833850742,629.5
689.76356003223668,629
689.77382144237561,629
689.78408256890043,626.5
689.79434341178728,625.5
689.80460397101183,625.5
689.81486424655066,626.5
689.82512423837977,629
689.835383946475,628.5
689.8456433708127,629
689.85590251136887,633
689.86616136811972,630.5
689.876419941041,629
689.8866782301094,626.5
689.89693623530059,627
689.90719395659073,630.5
689.91745139395607,630
689.92770854737239,627.5
689.93796541681627,626.5
689.94822200226372,626
689.95847830369053,630
689.96873432107316,629
689.9789900543874,630.5
689.98924550360971,630.5
689.99950066871611,630
690.00975554968261,629
690.02001014648545,629.5
690.03026445910075,629.5
690.04051848750464,631
690.05077223167325,628
690.06102569158259,627.5
690.07127886720912,627
690.08153175852851,630.5
690.09178436551713,630
690.10203668815132,624.5
690.112288726407,624.5
690.12254048026023,628
690.13279194968743,628.5
690.14304313466459,628.5
690.15329403516785,627.5
690.16354465117331,627.5
690.17379498265734,627
690.184045029596,628
690.19429479196515,628
690.20454426974129,630
690.21479346290062,630.5
690.225042371419,631.5
690.235290995273,631.5
690.24553933443838,628
690.25578738889146,627.5
690.26603515860859,629.5
690.27628264356576,628.5
690.28652984373912,627
690.29677675910477,627
690.3070233896392,630.5
690.31726973531829,632
690.32751579611852,632
690.33776157201567,629
690.3480070629862,625
690.35825226900624,623.5
690.368497190052,623.5
690.37874182609971,627
690.38898617712539,628.5
690.39923024310542,628.5
690.40947402401582,627
690.41971751983283,626.5
690.42996073053268,625.5
690.44020365609174,625.5
690.45044629648612,626.5
690.46068865169184,630.5
690.47093072168525,630.5
690.48117250644248,628
690.49141400593987,630
690.50165522015345,630
690.51189614905968,627
690.52213679263457,627
690.53237715085436,627
690.54261722369529,627
690.55285701113371,625.5
690.56309651314575,624
690.57333572970754,625.5
690.58357466079531,627.5
690.59381330638541,628
690.60405166645387,628
690.61428974097737,627.5
690.62452752993158,628
690.63476503329309,629.5
690.64500225103825,631
690.65523918314273,631
690.66547582958333,630.5
690.675712190336,632
690.68594826537708,632.5
690.69618405468282,632.5
690.70641955822953,632.5
690.71665477599322,629
690.72688970795048,628.5
690.73712435407731,629
690.74735871435,633.5
690.75759278874489,633.5
690.76782657723811,635
690.7780600798061,630
690.788293296425,627.5
690.79852622707108,630.5
690.80875887172056,629.5
690.81899123034987,629.5
690.82922330293513,630
690.8394550894526,629.5
690.84968658987873,629.5
690.85991780418965,627.5
690.87014873236149,626.5
690.88037937437082,627
690.89060973019377,629
690.9008397998067,631
690.91106958318574,631.5
690.92129908030734,632
690.93152829114763,631
690.941757215683,631
690.95198585388971,631.5
690.96221420574409,630.5
690.97244227122269,630.5
690.98267005030118,629.5
690.99289754295626,628.5
691.00312474916427,628.5
691.01335166890124,626
691.02357830214385,625.5
